station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
11 St & Washington St,12,1.0,2.0,1.0,1.0,1.0,0.6666667
11 St & Washington St,13,1.0,0.0,1.0,1.0,0.0,1.3333334
11 St & Washington St,14,0.0,0.0,1.0,0.0,1.0,1.0
11 St & Washington St,15,0.0,1.0,0.6666667,1.0,2.0,1.0
11 St & Washington St,16,1.0,2.0,0.6666667,2.0,1.0,1.0
11 St & Washington St,17,2.0,1.0,1.3333334,1.0,1.0,1.3333334
11 St & Washington St,18,1.0,0.0,1.3333334,1.0,0.0,1.3333334
11 St & Washington St,19,2.0,0.0,1.3333334,2.0,0.0,1.6666666
11 St & Washington St,20,0.0,0.0,1.0,0.0,0.0,1.6666666
11 St & Washington St,21,0.0,0.0,0.6666667,1.0,0.0,1.3333334
11 St & Washington St,22,0.0,0.0,0.33333334,0.0,0.0,0.33333334
11 St & Washington St,23,0.0,0.0,0.33333334,0.0,0.0,0.33333334
12 Ave & W 40 St,0,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,1,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,2,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,3,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,4,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,5,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,6,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,7,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,8,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,9,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,10,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,11,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,12,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,13,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,14,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,15,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,16,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,17,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,18,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,19,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,20,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,21,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,22,0.0,0.0,0.0,0.0,0.0,0.0
12 Ave & W 40 St,23,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,0,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,1,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,2,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,3,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,4,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,5,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,6,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,7,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,8,0.0,0.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,9,0.0,1.0,0.0,0.0,0.0,0.0
12 St & Sinatra Dr N,10,1.0,1.0,0.6666667,1.0,0.0,0.6666667
12 St & Sinatra Dr N,11,1.0,0.0,0.6666667,0.0,1.0,0.6666667
12 St & Sinatra Dr N,12,0.0,0.0,0.6666667,1.0,0.0,0.33333334
